2025-05-17 14:01:19.902 | INFO     | image_to_text:__init__:17 - Image to text model initialized
2025-05-17 14:01:19.902 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/12742_100840093409746_132562522_n.jpg'
2025-05-17 14:01:19.902 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/1653533_258190944341326_95250998_n.jpg'
2025-05-17 14:01:19.902 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/190241_101423083351447_668202023_n.jpg'
2025-05-17 14:01:19.902 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/224408_100817796745309_1155049077_n.jpg'
2025-05-17 14:01:19.902 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/227425_100832936743795_490879877_n.jpg'
2025-05-17 14:01:19.913 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/229466_100817720078650_1758497928_n.jpg'
2025-05-17 14:01:19.915 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/23938_100814156745673_949479244_n.jpg'
2025-05-17 14:01:19.917 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/250533_100826083411147_867563481_n.jpg'
2025-05-17 14:01:19.919 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/255423_100811380079284_1913402430_n.jpg'
2025-05-17 14:01:19.920 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/255497_100826243411131_376355613_n.jpg'
2025-05-17 14:01:19.921 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/283502_100814373412318_311004557_n.jpg'
2025-05-17 14:01:19.922 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/299401_101422500018172_23585620_n.jpg'
2025-05-17 14:01:19.924 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/306704_116424091851346_705666573_n.jpg'
2025-05-17 14:01:19.925 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/30975_100811360079286_506948413_n.jpg'
